customer_id,city,age_group,signup_date,is_prime
C00000,Mumbai,18-24,2023-02-20,0
C00001,Pune,18-24,2023-03-12,0
C00002,Delhi,25-34,2023-02-17,0
C00003,Delhi,18-24,2023-01-19,0
C00004,Bengaluru,35-44,2023-09-19,0
C00005,Bengaluru,25-34,2023-03-25,0
C00006,Bengaluru,18-24,2023-06-04,0
C00007,Hyderabad,25-34,2023-02-22,1
C00008,Delhi,25-34,2023-04-17,0
C00009,Delhi,45+,2023-12-23,1
C00010,Bengaluru,18-24,2023-10-31,1
C00011,Pune,18-24,2023-05-15,0
C00012,Hyderabad,35-44,2023-03-10,0
C00013,Bengaluru,45+,2023-01-11,0
C00014,Bengaluru,25-34,2023-05-23,1
C00015,Bengaluru,35-44,2023-07-11,1
C00016,Mumbai,18-24,2023-03-10,0
C00017,Mumbai,25-34,2023-01-23,1
C00018,Mumbai,18-24,2023-06-30,0
C00019,Bengaluru,18-24,2023-10-20,0
C00020,Delhi,35-44,2023-01-09,1
C00021,Bengaluru,18-24,2023-09-28,0
C00022,Bengaluru,25-34,2023-04-03,0
C00023,Mumbai,45+,2023-01-17,0
C00024,Mumbai,18-24,2023-06-03,1
C00025,Hyderabad,45+,2023-11-24,0
C00026,Bengaluru,45+,2023-05-29,1
C00027,Mumbai,25-34,2023-09-24,0
C00028,Delhi,18-24,2023-11-24,0
C00029,Bengaluru,25-34,2023-04-16,1
C00030,Delhi,25-34,2023-02-04,0
C00031,Bengaluru,25-34,2023-04-29,1
C00032,Bengaluru,18-24,2023-01-14,0
C00033,Chennai,45+,2023-01-14,0
C00034,Pune,18-24,2023-09-23,0
C00035,Hyderabad,25-34,2023-05-20,1
C00036,Mumbai,18-24,2023-10-21,0
C00037,Bengaluru,25-34,2023-12-30,1
C00038,Delhi,35-44,2023-04-29,0
C00039,Mumbai,18-24,2023-08-26,0
C00040,Bengaluru,18-24,2023-02-03,0
C00041,Mumbai,25-34,2023-06-18,1
C00042,Bengaluru,25-34,2023-01-10,1
C00043,Chennai,25-34,2023-05-02,1
C00044,Bengaluru,25-34,2023-05-25,0
C00045,Delhi,18-24,2023-08-11,0
C00046,Mumbai,45+,2023-09-14,0
C00047,Mumbai,35-44,2023-09-25,1
C00048,Mumbai,25-34,2023-12-25,0
C00049,Bengaluru,35-44,2023-01-04,0
C00050,Pune,25-34,2023-12-20,0
C00051,Hyderabad,25-34,2023-04-16,0
C00052,Chennai,18-24,2023-03-26,0
C00053,Chennai,25-34,2023-08-02,1
C00054,Delhi,25-34,2023-05-01,0
C00055,Chennai,18-24,2023-05-12,1
C00056,Bengaluru,25-34,2023-12-04,1
C00057,Bengaluru,35-44,2023-07-16,0
C00058,Bengaluru,25-34,2023-01-19,0
C00059,Mumbai,25-34,2023-05-10,0
C00060,Mumbai,35-44,2023-01-12,1
C00061,Bengaluru,18-24,2023-03-22,0
C00062,Hyderabad,25-34,2023-11-26,0
C00063,Mumbai,35-44,2023-12-20,0
C00064,Bengaluru,25-34,2023-09-19,0
C00065,Mumbai,25-34,2023-05-05,0
C00066,Bengaluru,18-24,2023-11-03,0
C00067,Hyderabad,35-44,2023-09-24,1
C00068,Bengaluru,25-34,2023-05-20,1
C00069,Pune,35-44,2023-11-25,0
C00070,Hyderabad,25-34,2023-01-02,0
C00071,Bengaluru,25-34,2023-01-08,1
C00072,Bengaluru,35-44,2023-09-07,0
C00073,Hyderabad,25-34,2023-05-19,1
C00074,Delhi,25-34,2023-05-04,0
C00075,Delhi,25-34,2023-11-05,1
C00076,Hyderabad,35-44,2023-08-16,0
C00077,Bengaluru,25-34,2023-01-10,0
C00078,Mumbai,25-34,2023-07-31,1
C00079,Bengaluru,18-24,2023-04-22,0
C00080,Hyderabad,35-44,2023-01-08,0
C00081,Delhi,18-24,2023-10-19,0
C00082,Mumbai,25-34,2023-12-28,1
C00083,Bengaluru,25-34,2023-09-10,0
C00084,Mumbai,25-34,2023-01-14,1
C00085,Mumbai,25-34,2023-08-28,0
C00086,Delhi,18-24,2023-08-30,0
C00087,Delhi,25-34,2023-12-08,1
C00088,Chennai,35-44,2023-05-29,0
C00089,Mumbai,35-44,2023-08-24,0
C00090,Bengaluru,18-24,2023-11-02,0
C00091,Delhi,35-44,2023-06-16,0
C00092,Hyderabad,25-34,2023-01-20,0
C00093,Delhi,35-44,2023-08-04,0
C00094,Hyderabad,25-34,2023-12-09,0
C00095,Mumbai,25-34,2023-05-15,0
C00096,Mumbai,35-44,2023-05-09,0
C00097,Mumbai,35-44,2023-10-21,0
C00098,Bengaluru,25-34,2023-09-03,1
C00099,Bengaluru,18-24,2023-07-08,1
C00100,Bengaluru,25-34,2023-02-13,0
C00101,Delhi,25-34,2023-03-27,0
C00102,Mumbai,18-24,2023-02-13,1
C00103,Mumbai,18-24,2023-11-26,0
C00104,Chennai,35-44,2023-05-25,0
C00105,Bengaluru,18-24,2023-02-20,1
C00106,Mumbai,25-34,2023-08-30,0
C00107,Hyderabad,18-24,2023-10-21,0
C00108,Bengaluru,25-34,2023-02-20,1
C00109,Bengaluru,18-24,2023-09-23,1
C00110,Bengaluru,18-24,2023-04-30,0
C00111,Bengaluru,35-44,2023-07-19,0
C00112,Chennai,35-44,2023-09-05,0
C00113,Hyderabad,18-24,2023-03-11,1
C00114,Delhi,25-34,2023-12-07,0
C00115,Chennai,25-34,2023-02-26,0
C00116,Hyderabad,35-44,2023-02-08,1
C00117,Bengaluru,35-44,2023-10-16,0
C00118,Chennai,25-34,2023-01-18,0
C00119,Mumbai,25-34,2023-08-08,0
C00120,Hyderabad,35-44,2023-11-09,0
C00121,Chennai,18-24,2023-09-01,0
C00122,Mumbai,25-34,2023-12-18,1
C00123,Bengaluru,35-44,2023-10-31,1
C00124,Bengaluru,25-34,2023-10-25,0
C00125,Mumbai,25-34,2023-10-10,0
C00126,Hyderabad,25-34,2023-03-15,0
C00127,Hyderabad,25-34,2023-04-20,0
C00128,Bengaluru,25-34,2023-06-29,0
C00129,Mumbai,25-34,2023-02-01,1
C00130,Mumbai,25-34,2023-08-22,0
C00131,Bengaluru,25-34,2023-10-09,0
C00132,Bengaluru,35-44,2023-01-25,0
C00133,Mumbai,18-24,2023-11-27,0
C00134,Chennai,25-34,2023-10-06,0
C00135,Mumbai,25-34,2023-08-14,0
C00136,Mumbai,25-34,2023-02-26,0
C00137,Delhi,18-24,2023-06-29,1
C00138,Mumbai,25-34,2023-08-20,0
C00139,Pune,35-44,2023-12-09,0
C00140,Pune,25-34,2023-10-14,0
C00141,Bengaluru,35-44,2023-03-05,1
C00142,Mumbai,45+,2023-08-20,0
C00143,Mumbai,18-24,2023-10-16,0
C00144,Bengaluru,18-24,2023-08-01,0
C00145,Bengaluru,45+,2023-09-15,1
C00146,Delhi,45+,2023-01-18,0
C00147,Mumbai,18-24,2023-06-24,0
C00148,Bengaluru,18-24,2023-08-17,0
C00149,Bengaluru,18-24,2023-08-14,0
C00150,Chennai,45+,2023-03-25,0
C00151,Bengaluru,18-24,2023-10-18,0
C00152,Bengaluru,25-34,2023-09-03,1
C00153,Mumbai,35-44,2023-04-20,0
C00154,Pune,18-24,2023-09-11,0
C00155,Bengaluru,25-34,2023-03-29,0
C00156,Delhi,18-24,2023-03-13,0
C00157,Hyderabad,35-44,2023-01-30,0
C00158,Bengaluru,18-24,2023-06-21,1
C00159,Delhi,25-34,2023-11-05,1
C00160,Mumbai,25-34,2023-12-09,0
C00161,Delhi,18-24,2023-06-26,0
C00162,Delhi,18-24,2023-05-19,0
C00163,Mumbai,25-34,2023-07-13,1
C00164,Bengaluru,18-24,2023-07-05,1
C00165,Hyderabad,35-44,2023-08-06,1
C00166,Mumbai,35-44,2023-06-13,1
C00167,Bengaluru,25-34,2023-06-10,0
C00168,Bengaluru,25-34,2023-01-13,0
C00169,Delhi,25-34,2023-10-23,1
C00170,Delhi,35-44,2023-03-30,0
C00171,Bengaluru,25-34,2023-11-20,0
C00172,Mumbai,18-24,2023-02-11,0
C00173,Bengaluru,18-24,2023-07-29,0
C00174,Delhi,25-34,2023-08-17,0
C00175,Bengaluru,25-34,2023-12-16,0
C00176,Delhi,25-34,2023-10-02,1
C00177,Mumbai,18-24,2023-10-06,0
C00178,Chennai,25-34,2023-09-08,0
C00179,Bengaluru,18-24,2023-11-06,1
C00180,Mumbai,18-24,2023-07-27,0
C00181,Bengaluru,25-34,2023-11-17,0
C00182,Chennai,18-24,2023-05-20,0
C00183,Chennai,25-34,2023-10-07,0
C00184,Bengaluru,25-34,2023-02-03,0
C00185,Delhi,25-34,2023-11-05,1
C00186,Hyderabad,25-34,2023-01-18,0
C00187,Delhi,18-24,2023-02-26,0
C00188,Mumbai,18-24,2023-04-22,0
C00189,Bengaluru,35-44,2023-01-05,0
C00190,Bengaluru,25-34,2023-07-01,1
C00191,Chennai,25-34,2023-01-13,0
C00192,Chennai,18-24,2023-12-05,0
C00193,Delhi,25-34,2023-10-12,1
C00194,Mumbai,25-34,2023-09-16,0
C00195,Mumbai,25-34,2023-03-31,1
C00196,Delhi,25-34,2023-04-14,0
C00197,Chennai,18-24,2023-07-05,0
C00198,Chennai,18-24,2023-09-07,1
C00199,Hyderabad,35-44,2023-09-12,1
C00200,Delhi,45+,2023-03-17,0
C00201,Bengaluru,18-24,2023-04-18,0
C00202,Bengaluru,25-34,2023-06-05,0
C00203,Chennai,18-24,2023-03-23,0
C00204,Delhi,18-24,2023-03-18,1
C00205,Bengaluru,25-34,2023-09-15,0
C00206,Bengaluru,18-24,2023-05-07,0
C00207,Delhi,25-34,2023-10-09,1
C00208,Bengaluru,25-34,2023-03-29,0
C00209,Bengaluru,18-24,2023-07-23,0
C00210,Mumbai,18-24,2023-01-16,1
C00211,Delhi,35-44,2023-05-31,1
C00212,Delhi,18-24,2023-09-11,1
C00213,Bengaluru,25-34,2023-07-07,0
C00214,Delhi,25-34,2023-11-25,1
C00215,Bengaluru,25-34,2023-02-01,0
C00216,Mumbai,25-34,2023-09-28,0
C00217,Delhi,18-24,2023-01-05,1
C00218,Delhi,18-24,2023-11-26,0
C00219,Hyderabad,18-24,2023-11-04,1
C00220,Delhi,25-34,2023-11-29,0
C00221,Delhi,25-34,2023-06-18,0
C00222,Bengaluru,18-24,2023-06-30,1
C00223,Mumbai,18-24,2023-06-27,0
C00224,Bengaluru,25-34,2023-05-23,0
C00225,Bengaluru,25-34,2023-12-28,0
C00226,Pune,45+,2023-09-05,1
C00227,Mumbai,25-34,2023-05-07,0
C00228,Chennai,25-34,2023-09-20,0
C00229,Delhi,25-34,2023-02-09,0
C00230,Hyderabad,35-44,2023-12-21,1
C00231,Mumbai,35-44,2023-09-12,1
C00232,Delhi,25-34,2023-05-23,1
C00233,Mumbai,18-24,2023-08-28,0
C00234,Bengaluru,18-24,2023-08-16,0
C00235,Delhi,25-34,2023-12-07,0
C00236,Bengaluru,25-34,2023-07-17,0
C00237,Bengaluru,25-34,2023-03-06,0
C00238,Delhi,18-24,2023-01-11,1
C00239,Bengaluru,25-34,2023-04-18,1
C00240,Chennai,35-44,2023-01-26,0
C00241,Pune,18-24,2023-05-31,0
C00242,Chennai,25-34,2023-08-09,1
C00243,Mumbai,25-34,2023-12-07,0
C00244,Bengaluru,35-44,2023-08-25,0
C00245,Chennai,35-44,2023-08-25,0
C00246,Mumbai,25-34,2023-08-07,0
C00247,Pune,25-34,2023-05-31,1
C00248,Pune,35-44,2023-05-03,0
C00249,Hyderabad,25-34,2023-05-24,0
C00250,Bengaluru,25-34,2023-07-08,0
C00251,Mumbai,35-44,2023-09-12,1
C00252,Hyderabad,18-24,2023-03-09,0
C00253,Mumbai,25-34,2023-04-14,0
C00254,Bengaluru,35-44,2023-12-02,1
C00255,Delhi,25-34,2023-06-08,1
C00256,Chennai,25-34,2023-11-05,1
C00257,Delhi,18-24,2023-12-28,1
C00258,Delhi,25-34,2023-10-27,0
C00259,Bengaluru,18-24,2023-03-31,0
C00260,Delhi,18-24,2023-12-23,0
C00261,Pune,25-34,2023-09-13,0
C00262,Bengaluru,18-24,2023-12-19,1
C00263,Mumbai,25-34,2023-08-08,1
C00264,Chennai,25-34,2023-01-09,1
C00265,Delhi,45+,2023-01-12,0
C00266,Delhi,25-34,2023-11-21,1
C00267,Delhi,18-24,2023-09-01,1
C00268,Mumbai,18-24,2023-07-01,0
C00269,Bengaluru,25-34,2023-10-11,1
C00270,Hyderabad,25-34,2023-11-08,0
C00271,Hyderabad,25-34,2023-04-09,0
C00272,Hyderabad,25-34,2023-07-16,1
C00273,Chennai,18-24,2023-08-14,1
C00274,Mumbai,25-34,2023-11-29,0
C00275,Mumbai,25-34,2023-04-13,0
C00276,Hyderabad,18-24,2023-04-16,1
C00277,Delhi,18-24,2023-12-31,1
C00278,Delhi,18-24,2023-02-27,1
C00279,Hyderabad,18-24,2023-03-19,0
C00280,Chennai,25-34,2023-03-16,0
C00281,Mumbai,18-24,2023-02-11,0
C00282,Mumbai,18-24,2023-11-20,0
C00283,Bengaluru,18-24,2023-06-30,0
C00284,Delhi,45+,2023-02-02,0
C00285,Bengaluru,35-44,2023-03-12,0
C00286,Mumbai,18-24,2023-02-25,0
C00287,Mumbai,25-34,2023-04-15,1
C00288,Bengaluru,18-24,2023-07-19,0
C00289,Delhi,25-34,2023-04-11,0
C00290,Bengaluru,18-24,2023-09-13,0
C00291,Bengaluru,25-34,2023-11-03,0
C00292,Hyderabad,25-34,2023-03-15,0
C00293,Mumbai,35-44,2023-06-20,1
C00294,Bengaluru,18-24,2023-05-23,1
C00295,Mumbai,35-44,2023-06-15,0
C00296,Hyderabad,35-44,2023-09-18,0
C00297,Bengaluru,18-24,2023-08-09,0
C00298,Delhi,25-34,2023-03-24,1
C00299,Bengaluru,18-24,2023-07-01,0
C00300,Bengaluru,18-24,2023-11-03,0
C00301,Mumbai,18-24,2023-01-10,1
C00302,Mumbai,25-34,2023-01-04,1
C00303,Delhi,25-34,2023-12-17,1
C00304,Delhi,45+,2023-12-02,1
C00305,Pune,18-24,2023-10-19,1
C00306,Mumbai,45+,2023-10-08,0
C00307,Mumbai,18-24,2023-08-03,0
C00308,Hyderabad,35-44,2023-04-08,1
C00309,Bengaluru,25-34,2023-04-11,1
C00310,Mumbai,18-24,2023-01-09,1
C00311,Bengaluru,35-44,2023-03-02,0
C00312,Bengaluru,25-34,2023-11-05,0
C00313,Pune,25-34,2023-05-26,0
C00314,Hyderabad,25-34,2023-03-04,0
C00315,Delhi,25-34,2023-05-01,0
C00316,Mumbai,25-34,2023-08-14,1
C00317,Bengaluru,25-34,2023-04-15,0
C00318,Bengaluru,18-24,2023-09-17,1
C00319,Bengaluru,25-34,2023-12-15,1
C00320,Mumbai,35-44,2023-09-12,0
C00321,Delhi,18-24,2023-07-26,0
C00322,Delhi,18-24,2023-01-28,0
C00323,Bengaluru,25-34,2023-06-19,1
C00324,Pune,25-34,2023-12-02,1
C00325,Delhi,25-34,2023-03-17,1
C00326,Delhi,18-24,2023-04-26,1
C00327,Delhi,25-34,2023-03-10,0
C00328,Mumbai,18-24,2023-12-20,1
C00329,Bengaluru,25-34,2023-08-22,1
