order_id,prep_time_min,delivery_time_min,total_time_min,delivery_rating,on_time
ORD0000000,16.0,25.7,41.7,4,1
ORD0000001,27.0,23.1,50.1,1,0
ORD0000002,41.4,21.5,62.9,5,0
ORD0000003,34.6,33.1,67.7,4,0
ORD0000004,53.7,41.5,95.2,3,0
ORD0000006,50.0,39.8,89.8,1,0
ORD0000007,14.8,38.9,53.7,4,0
ORD0000009,27.2,34.7,61.900000000000006,4,0
ORD0000011,37.2,21.3,58.5,1,0
ORD0000012,15.2,26.5,41.7,2,1
ORD0000013,26.6,26.9,53.5,4,0
ORD0000014,13.9,37.3,51.199999999999996,4,0
ORD0000015,38.3,25.7,64.0,4,0
ORD0000016,10.0,33.8,43.8,5,1
ORD0000017,27.0,17.3,44.3,5,1
ORD0000020,23.7,26.5,50.2,4,0
ORD0000021,20.2,25.9,46.099999999999994,4,0
ORD0000022,22.7,31.6,54.3,5,0
ORD0000023,16.9,26.9,43.8,5,1
ORD0000025,16.3,40.5,56.8,5,0
ORD0000026,43.3,30.2,73.5,5,0
ORD0000027,20.6,31.9,52.5,4,0
ORD0000028,13.0,29.2,42.2,2,1
ORD0000029,36.8,32.1,68.9,5,0
ORD0000031,22.7,35.6,58.3,5,0
ORD0000032,26.6,39.2,65.80000000000001,4,0
ORD0000033,26.3,29.4,55.7,2,0
ORD0000034,16.0,30.4,46.4,5,0
ORD0000035,16.1,24.8,40.900000000000006,5,1
ORD0000039,18.6,33.0,51.6,4,0
ORD0000041,26.4,29.6,56.0,4,0
ORD0000042,26.3,27.0,53.3,4,0
ORD0000044,46.4,37.5,83.9,3,0
ORD0000046,22.5,34.9,57.4,5,0
ORD0000047,22.8,35.7,58.5,4,0
ORD0000048,47.2,23.8,71.0,4,0
ORD0000049,27.0,29.3,56.3,5,0
ORD0000050,27.3,30.4,57.7,5,0
ORD0000052,23.2,16.9,40.099999999999994,2,1
ORD0000053,17.8,40.2,58.0,5,0
ORD0000054,25.6,39.9,65.5,5,0
ORD0000056,40.7,23.8,64.5,3,0
ORD0000058,42.2,45.0,87.2,3,0
ORD0000059,18.9,33.8,52.699999999999996,4,0
ORD0000060,29.4,34.1,63.5,1,0
ORD0000061,38.4,40.0,78.4,3,0
ORD0000062,35.4,22.4,57.8,4,0
ORD0000063,40.9,14.4,55.3,4,0
ORD0000064,38.9,36.0,74.9,5,0
ORD0000065,20.6,37.9,58.5,5,0
ORD0000066,35.9,34.8,70.69999999999999,5,0
ORD0000067,22.7,27.9,50.599999999999994,4,0
ORD0000068,29.5,23.1,52.6,4,0
ORD0000069,35.9,45.9,81.8,4,0
ORD0000070,38.1,23.5,61.6,5,0
ORD0000073,38.8,18.7,57.5,5,0
ORD0000074,11.7,23.9,35.599999999999994,4,1
ORD0000075,29.7,36.9,66.6,4,0
ORD0000076,44.8,37.8,82.6,3,0
ORD0000077,33.0,30.1,63.1,5,0
ORD0000078,20.5,24.3,44.8,5,1
ORD0000079,27.1,29.3,56.400000000000006,5,0
ORD0000080,29.4,20.5,49.9,5,0
ORD0000081,43.1,36.6,79.7,4,0
ORD0000082,22.8,29.0,51.8,4,0
ORD0000083,15.5,39.7,55.2,3,0
ORD0000084,24.6,25.5,50.1,4,0
ORD0000085,19.8,21.6,41.400000000000006,4,1
ORD0000086,39.1,51.0,90.1,5,0
ORD0000087,45.5,21.0,66.5,5,0
ORD0000088,33.9,39.1,73.0,4,0
ORD0000089,28.9,31.5,60.4,1,0
ORD0000090,21.7,41.8,63.5,5,0
ORD0000092,36.9,14.5,51.4,4,0
ORD0000093,40.1,28.3,68.4,4,0
ORD0000094,38.5,39.9,78.4,5,0
ORD0000095,43.9,41.8,85.69999999999999,4,0
ORD0000096,22.5,29.8,52.3,4,0
ORD0000097,30.8,34.6,65.4,5,0
ORD0000099,28.2,22.3,50.5,4,0
ORD0000100,34.2,19.9,54.1,2,0
ORD0000101,31.9,21.4,53.3,5,0
ORD0000102,28.8,33.8,62.599999999999994,3,0
ORD0000104,28.0,31.0,59.0,5,0
ORD0000105,37.7,31.0,68.7,3,0
ORD0000106,33.3,20.9,54.199999999999996,5,0
ORD0000107,31.7,30.6,62.3,3,0
ORD0000108,36.1,15.1,51.2,4,0
ORD0000109,17.6,32.9,50.5,4,0
ORD0000110,12.3,30.2,42.5,4,1
ORD0000111,41.9,29.3,71.2,5,0
ORD0000112,24.1,27.6,51.7,5,0
ORD0000113,22.8,34.8,57.599999999999994,5,0
ORD0000114,26.6,35.2,61.800000000000004,4,0
ORD0000115,48.7,32.1,80.80000000000001,4,0
ORD0000117,19.5,30.1,49.6,5,0
ORD0000118,34.3,37.3,71.6,5,0
ORD0000119,12.5,24.0,36.5,5,1
ORD0000120,32.0,37.6,69.6,4,0
ORD0000121,30.0,19.1,49.1,1,0
ORD0000122,34.9,26.9,61.8,4,0
ORD0000123,38.3,37.4,75.69999999999999,4,0
ORD0000127,46.3,28.1,74.4,5,0
ORD0000128,36.9,33.2,70.1,3,0
ORD0000129,17.9,17.7,35.599999999999994,4,1
